Country,srcYear,Region or state or Union Territory (UT),Deposit of SCBs excluding inter bank deposits as at end march,Bank credit of SCBs as at end march,Additional information,YearCode,Year
India,2020,Tripura,26487,11246,,2020,"Calendar Year (Jan - Dec), 2020"
India,2021,Uttar Pradesh,1277878,530106,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Northern Region,3215617,2409599,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Haryana,538565,287499,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Himachal Pradesh,112344,34770,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Jammu & Kashmir,142897,69302,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Punjab,459027,252685,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Rajasthan,474438,369374,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Chandigarh,81320,78153,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Delhi,1400864,1315663,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Ladakh,6161,2153,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,North Eastern Region,283662,125048,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Arunachal Pradesh,19525,4920,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Assam,173014,80871,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Manipur,12323,7115,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Meghalaya,25821,9719,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Mizoram,12000,5038,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Nagaland,12579,5432,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Tripura,28400,11952,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Eastern Region,1922787,799786,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Bihar,397492,159318,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Jharkhand,256070,76371,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Odisha,363567,143676,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Sikkim,10604,3800,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,West Bengal,889011,413827,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Andaman & Nicobar Islands,6043,2795,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Central Region,2069799,1004656,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Chhattisgarh,173217,108588,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Madhya Pradesh,453372,307614,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Uttarakhand,165333,58348,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Western Region,4090626,3531416,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Goa,85771,21038,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Gujarat,830161,580273,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Maharashtra,3163108,2926015,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Dadra & Nagar Haveli,11586,4089,Figures include Daman & Diu as well.,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Daman & Diu,,,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Southern Region,3861018,3207546,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Andhra Pradesh,359770,473133,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Karnataka,1256023,750843,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Kerala,607649,378762,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Tamil Nadu,1008731,1025781,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Lakshadweep,1239,97,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Puducherry,22138,14337,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Telangana,605468,564592,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,All India,15443510,11078050,,2021,"Calendar Year (Jan - Dec), 2021"
India,2022,Himachal Pradesh,123672,40942,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Mizoram,13102,5982,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Kerala,670289,424247,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Western Region,4526565,3507124,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Telangana,638949,660857,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Dadra & Nagar Haveli,13210,6766,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Uttar Pradesh,1394177,646284,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Delhi,1489930,1425079,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Meghalaya,29441,9512,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Karnataka,1382552,888922,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Puducherry,24552,16156,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Manipur,13813,9163,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Odisha,421413,183405,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Daman & Diu,,,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Bihar,442417,195592,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Ladakh,7455,2754,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,North Eastern Region,315843,146646,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,All India,17008795,12258748,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Assam,189483,95992,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Andhra Pradesh,385881,550560,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Haryana,614014,372955,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Southern Region,4220866,3699466,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,West Bengal,978185,479463,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Arunachal Pradesh,24121,6053,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Jammu & Kashmir,153229,79961,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Goa,92900,24092,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Uttarakhand,180784,67751,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Lakshadweep,1230,118,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Eastern Region,2144187,959293,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Punjab,510138,288331,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Sikkim,12411,5182,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Tripura,31304,13562,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Andaman & Nicobar Islands,6773,3462,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Gujarat,928468,758868,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Central Region,2282524,1211460,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Rajasthan,530634,442730,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Tamil Nadu,1117412,1158606,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Madhya Pradesh,510313,359322,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Nagaland,14579,6381,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Northern Region,3518810,2734759,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Jharkhand,282989,92188,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Maharashtra,3491988,2717399,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Chhattisgarh,197250,138103,,2022,"Calendar Year (Jan - Dec), 2022"
India,2022,Chandigarh,89738,82007,,2022,"Calendar Year (Jan - Dec), 2022"
India,2023,Haryana,702370,411060,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Uttar Pradesh,1548627,712314,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Odisha,463318,203732,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Himachal Pradesh,136486,45325,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Uttarakhand,200425,73050,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Jharkhand,304044,104090,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Western Region,5066587,4671111,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Bihar,478429,220827,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Eastern Region,2322834,1042140,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Goa,102038,25566,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Tripura,34065,14128,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Sikkim,13554,5804,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Gujarat,1027453,734431,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Nagaland,15579,7628,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,All India,18742311,14198006,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Maharashtra,3922908,3905707,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Mizoram,14682,6910,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Meghalaya,31275,11736,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Dadra & Nagar Haveli,14188,5407,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Manipur,14851,10768,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Telangana,693887,719643,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Daman & Diu,,,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Assam,207312,107839,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Southern Region,4572146,4075168,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Arunachal Pradesh,26656,7279,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,North Eastern Region,344420,166288,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Andhra Pradesh,429719,621699,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Ladakh,8249,3331,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Karnataka,1485253,958444,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Delhi,1658866,1496251,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Northern Region,3923498,2907947,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Kerala,724013,476457,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Chandigarh,99918,75587,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Rajasthan,594426,485098,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Tamil Nadu,1211394,1281173,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Punjab,560275,300770,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Lakshadweep,1413,145,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Jammu & Kashmir,162908,90525,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Central Region,2512826,1335352,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Puducherry,26469,17608,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Chhattisgarh,216407,156810,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Andaman & Nicobar Islands,7122,3675,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,Madhya Pradesh,547367,393179,,2023,"Calendar Year (Jan - Dec), 2023"
India,2023,West Bengal,1056367,504012,,2023,"Calendar Year (Jan - Dec), 2023"
India,2024,West Bengal,1143463,566403,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Meghalaya,34372,14134,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Chhattisgarh,243955,185447,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Kerala,803411,564938,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Jharkhand,336724,125014,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Maharashtra,4667847,4695201,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Rajasthan,670970,581568,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Andaman & Nicobar Islands,7746,4110,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Mizoram,15713,7980,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Nagaland,17135,8821,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Sikkim,14748,6520,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Tamil Nadu,1344553,1518843,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Gujarat,1195365,888934,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Punjab,617489,360008,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Uttarakhand,222835,89999,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Tripura,37109,16452,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,All India,21253358,16913694,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Goa,112021,29810,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Puducherry,30226,21141,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Lakshadweep,1532,167,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Jammu & Kashmir,175967,102722,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Odisha,522543,251114,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Haryana,788798,525579,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Himachal Pradesh,150334,53601,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Eastern Region,2549474,1217906,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Southern Region,5130803,4873415,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,North Eastern Region,369678,195525,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Western Region,5990888,5620845,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Telangana,788091,870271,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Arunachal Pradesh,29205,8735,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Central Region,2830411,1615572,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Andhra Pradesh,480580,737696,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Assam,220474,127803,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Ladakh,8848,3861,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Uttar Pradesh,1745807,871585,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Daman & Diu,,,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Northern Region,4382104,3390433,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Manipur,15669,11600,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Madhya Pradesh,617814,468541,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Karnataka,1682411,1160358,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Delhi,1855609,1680085,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Bihar,524251,264746,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Dadra & Nagar Haveli,15655,6900,,2024,"Calendar Year (Jan - Dec), 2024"
India,2024,Chandigarh,114089,83008,,2024,"Calendar Year (Jan - Dec), 2024"
